Max flow: 284
Edges
From		To		Capacity/Flow
151		546		7.00/0.00
151		574		2.00/0.00
151		397		5.00/0.00
151		15		8.00/0.00
151		534		2.00/0.00
151		434		10.00/0.00
152		262		10.00/0.00
152		703		2.00/0.00
152		144		9.00/1.00
152		165		5.00/0.00
152		726		3.00/0.00
152		667		9.00/0.00
152		282		8.00/0.00
153		496		8.00/0.00
153		66		2.00/0.00
153		221		3.00/1.00
153		594		9.00/0.00
153		2		3.00/3.00
153		603		1.00/0.00
153		781		10.00/0.00
154		780		10.00/0.00
154		103		1.00/0.00
154		363		9.00/0.00
154		531		8.00/0.00
154		58		3.00/0.00
154		298		5.00/0.00
154		456		4.00/0.00
155		240		5.00/0.00
155		841		4.00/0.00
155		31		3.00/0.00
156		413		9.00/0.00
156		669		8.00/0.00
156		953		6.00/0.00
156		848		5.00/0.00
156		563		1.00/1.00
157		498		4.00/0.00
157		543		5.00/0.00
157		406		10.00/0.00
157		741		9.00/0.00
158		193		1.00/0.00
158		594		4.00/0.00
158		702		1.00/0.00
158		640		10.00/0.00
158		2		5.00/5.00
158		141		1.00/0.00
158		578		1.00/0.00
158		57		8.00/0.00
159		581		5.00/0.00
159		636		9.00/0.00
159		799		5.00/0.00
159		407		8.00/4.00
159		918		9.00/0.00
160		72		2.00/2.00
160		955		5.00/2.00
160		627		9.00/2.00
160		996		10.00/0.00
160		232		3.00/1.00
160		792		1.00/1.00
161		365		1.00/0.00
161		285		5.00/0.00
162		257		6.00/0.00
162		73		8.00/0.00
162		458		9.00/0.00
162		956		1.00/0.00
162		191		5.00/0.00
162		577		9.00/0.00
163		474		5.00/0.00
163		895		3.00/0.00
163		625		10.00/0.00
164		991		5.00/0.00
164		260		1.00/0.00
164		74		6.00/0.00
164		651		7.00/0.00
164		763		4.00/0.00
165		711		9.00/0.00
165		788		7.00/0.00
165		326		9.00/0.00
166		239		7.00/0.00
166		380		3.00/0.00
166		151		4.00/0.00
166		728		1.00/0.00
166		617		4.00/0.00
166		434		2.00/0.00
167		410		9.00/0.00
167		35		8.00/0.00
167		407		5.00/2.00
167		578		5.00/0.00
167		92		1.00/0.00
167		878		9.00/0.00
167		30		4.00/0.00
167		500		9.00/0.00
167		158		3.00/3.00
168		752		1.00/0.00
168		301		10.00/0.00
168		16		1.00/0.00
168		318		6.00/0.00
168		214		5.00/0.00
168		42		3.00/0.00
168		740		6.00/0.00
168		438		4.00/0.00
168		639		5.00/0.00
168		499		7.00/0.00
168		338		7.00/0.00
169		230		2.00/0.00
169		630		2.00/0.00
169		320		3.00/0.00
170		782		8.00/0.00
170		126		8.00/0.00
170		98		1.00/0.00
170		290		2.00/0.00
170		362		2.00/0.00
170		121		8.00/0.00
170		908		1.00/0.00
170		155		6.00/0.00
171		936		8.00/0.00
171		300		7.00/0.00
171		778		4.00/0.00
171		633		2.00/0.00
171		463		4.00/0.00
171		570		1.00/0.00
172		841		10.00/0.00
172		820		7.00/0.00
172		223		4.00/0.00
172		311		4.00/0.00
173		266		7.00/0.00
173		479		2.00/0.00
173		465		10.00/0.00
173		155		10.00/0.00
173		254		6.00/0.00
173		672		6.00/0.00
173		639		1.00/0.00
173		573		8.00/0.00
174		151		6.00/0.00
174		2		3.00/3.00
174		29		7.00/0.00
174		65		4.00/0.00
174		568		6.00/0.00
175		506		10.00/0.00
175		566		6.00/0.00
175		311		6.00/0.00
176		857		5.00/0.00
176		697		5.00/0.00
176		94		7.00/0.00
176		836		2.00/0.00
176		744		5.00/0.00
176		320		9.00/0.00
176		305		1.00/0.00
176		338		9.00/0.00
177		298		1.00/0.00
177		95		8.00/0.00
177		2		4.00/4.00
177		650		6.00/0.00
177		226		4.00/0.00
177		914		3.00/0.00
177		269		6.00/0.00
177		455		10.00/0.00
177		925		10.00/0.00
